ResponseID,BranchNum,Date_of_Survey,Time_of_Survey,SurveyQuestion1,SurveyQuestion2
1403,9,1/31/2020 0:00,11:12:00 AM,3,3
1404,40,1/31/2020 0:00,5:29:00 PM,4,4
1405,12,1/31/2020 0:00,7:27:00 PM,5,5
1406,23,1/31/2020 0:00,8:13:00 PM,5,5
1407,39,1/30/2020 0:00,6:04:00 AM,5,5
1408,43,1/30/2020 0:00,6:46:00 AM,3,3
1409,9,1/30/2020 0:00,7:20:00 AM,5,5
1410,27,1/30/2020 0:00,8:21:00 AM,4,4
1411,28,1/30/2020 0:00,8:34:00 AM,5,5
1412,15,1/30/2020 0:00,9:39:00 AM,5,5
1413,31,1/30/2020 0:00,10:28:00 AM,5,5
1414,20,1/30/2020 0:00,2:53:00 PM,4,5
1415,28,1/30/2020 0:00,5:46:00 PM,3,3
1416,32,1/30/2020 0:00,6:37:00 PM,5,5
1417,9,1/30/2020 0:00,7:32:00 PM,5,5
1418,25,1/30/2020 0:00,8:42:00 PM,4,4
1419,32,1/29/2020 0:00,12:43:00 PM,5,4
1420,40,1/29/2020 0:00,3:27:00 PM,5,5
1421,22,1/29/2020 0:00,7:52:00 PM,4,4
1422,31,1/29/2020 0:00,8:22:00 PM,5,5
1423,5,1/29/2020 0:00,9:09:00 PM,4,5
1424,39,1/29/2020 0:00,12:28:00 AM,3,4
1425,32,1/29/2020 0:00,8:52:00 AM,5,5
1426,22,1/29/2020 0:00,9:41:00 AM,3,3
1427,22,1/29/2020 0:00,10:33:00 AM,3,3
1428,26,1/29/2020 0:00,12:12:00 PM,5,5
1429,30,1/28/2020 0:00,4:31:00 AM,4,4
1430,34,1/28/2020 0:00,5:07:00 AM,5,5
1431,19,1/28/2020 0:00,5:10:00 AM,5,5
1432,24,1/28/2020 0:00,6:17:00 AM,1,1
1433,19,1/28/2020 0:00,6:29:00 AM,5,5
1434,39,1/28/2020 0:00,6:37:00 AM,5,5
1435,32,1/28/2020 0:00,7:42:00 AM,5,5
1436,43,1/28/2020 0:00,9:15:00 AM,5,5
1437,9,1/28/2020 0:00,9:26:00 AM,5,5
1438,35,1/28/2020 0:00,9:30:00 AM,5,5
1439,2,1/28/2020 0:00,10:28:00 AM,5,5
1440,2,1/28/2020 0:00,1:13:00 PM,5,5
1441,9,1/28/2020 0:00,3:10:00 PM,5,5
1442,20,1/28/2020 0:00,10:11:00 PM,4,4
1443,25,1/27/2020 0:00,9:41:00 AM,5,5
1444,32,1/27/2020 0:00,12:56:00 PM,4,4
1445,20,1/26/2020 0:00,10:02:00 PM,1,1
1446,25,1/26/2020 0:00,9:26:00 AM,4,4
1447,32,1/26/2020 0:00,5:41:00 PM,5,5
1448,9,1/25/2020 0:00,4:38:00 AM,5,5
1449,2,1/25/2020 0:00,7:19:00 AM,5,5
